Feature ID	Taxon
a0830_NZ_DAOSEI010000020.1_mcrA_gene_1_Methanothrix_soehngenii	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix soehngenii
a0193_CP001696.1_mcrA_product_or_note_1_Methanocaldococcus_fervens	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus;s__Methanocaldococcus fervens
a0695_NZ_CALZFV010000034.1_mcrA_gene_1_Methanobrevibacter_ruminantium	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter ruminantium
a0386_FNFT01000019.1_mcrA_product_or_note_1_Methanoculleus_thermophilus	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus thermophilus
a0799_NZ_CP131061.1_mcrA_gene_1_Methanolapillus_ohkumae	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolapillus;s__Methanolapillus ohkumae
a1234_OQ603056.1_mcrA_ANME-1d_cluster_archaeon	d__Archaea;k__Archaea;p__Methanobacteriota;c__Methanomicrobia;o__Candidatus Methanophagales;f__ANME-1 cluster;g__ANME-1 cluster;s__ANME-1d cluster archaeon
a0342_CP178159.1_mcrA_gene_1_Methanofervidicoccus_abyssi	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanococcales incertae sedis;g__Methanofervidicoccus;s__Methanofervidicoccus abyssi
a0812_NZ_DAIPSW010000002.1_mcrA_gene_1_Methanothrix_soehngenii	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix soehngenii
a0231_CP009149.1_mcrA_product_or_note_2_Methanocaldococcus_bathoardescens	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus;s__Methanocaldococcus bathoardescens
a0245_CP009518.1_mcrA_product_or_note_1_Methanococcoides_methylutens	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides methylutens
a0087_AF414036.1_mcrA_Methanoculleus_bourgensis	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus bourgensis
