feature_id,internal_id,species,verdict,taxonomy
AB551870.1_mrtA,a0043,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium kanagiense
AB598291.1_mcrA,a0044,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium subterraneum
AB598292.1_mcrA,a0045,no,remove,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides sp.
AB598293.1_mcrA,a0046,no,remove,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp.
AB598294.1_mcrA,a0047,no,remove,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter sp.
AB679169.1_mcrA,a0048,yes,"keep, repair tax",d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanotrichales;f__Methanotrichaceae;g__Methanosaeta;s__Methanosaeta pelagica
AB679170.1_mcrA,a0049,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix soehngenii
AB679171.1_mcrA,a0050,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix harundinacea
AB703629.1_mcrA,a0051,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus profundi
AB703630.1_mcrA,a0052,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis
AB703631.1_mcrA,a0053,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis
AB703632.1_mcrA,a0054,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides alaskense
AB703633.1_mcrA,a0055,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__Methanohalophilus halophilus
AB703634.1_mcrA,a0056,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus chikugoensis
AB703635.1_mcrA,a0057,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus chikugoensis
AB703636.1_mcrA,a0058,no,remove,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp.
AB703637.1_mcrA,a0059,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis
AB703638.1_mcrA,a0060,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter wolfeii
AB703639.1_mrtA,a0061,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter wolfeii
AB703640.1_mcrA,a0062,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus aeolicus
AB703641.1_mcrA,a0063,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__Methanolinea tarda
AB703642.1_mcrA,a0064,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoplanus;s__Methanoplanus limicola
AB703643.1_mcrA,a0065,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanofollis;s__Methanofollis ethanolicus
AB703644.1_mcrA,a0066,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanofollis;s__Methanofollis ethanolicus
AB703645.1_mcrA,a0067,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei
AB749768.1_mcrA,a0068,yes,keep,d__Archaea;k__Methanobacteriati;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Candidatus Methanogranum;s__Candidatus Methanogranum caenicola
AB842181.1_mcrA,a0069,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter marburgensis
AB842182.1_mrtA,a0070,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter marburgensis
AB842183.1_mcrA,a0071,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium alcaliphilum
AB842184.1_mrtA,a0072,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium alcaliphilum
AB889606.1_mcrA,a0073,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__Methanohalophilus levihalophilus
AB908273.1_mcrA,a0074,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__Methanohalophilus portucalensis
ABYV02000006.1_mcrA_gene_1,a0075,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter smithii
ABYW01000007.1_mcrA_gene_1,a0076,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter smithii
AE008384.1_mcrA_product_or_note_1,a0077,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei
AE009439.1_mcrA_gene_1,a0078,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae;g__Methanopyrus;s__Methanopyrus kandleri
AE010299.1_mcrA_product_or_note_1,a0079,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina acetivorans
AF313802.1_mcrA,a0080,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix soehngenii
AF313803.1_mcrA,a0081,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix soehngenii
AF313804.1_mcrA,a0082,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus thermophilus
AF313805.1_mcrA,a0083,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__Methanospirillum hungatei
AF313806.1_mcrA,a0084,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium bryantii
